"Introducción al Analisis Matemático",                          CB01,   8,""
"Ciencia, Tecnología y Sociedad",                               CB02,   4,""
"Química General",                                              CB03,   8,""
"Introducción a la Informática",                                CB36,   4,""
"Cálculo I",                                                    CB05,   6,"CB01"
"Álgebra y Geometría Analítica I",                              CB06,   6,""
"Física I",                                                     CB10,   8,"CB01"
"Sistemas de Representación Gráfica",                           CB37,   4,"CB36"
"Cálculo II",                                                   CB09,   8,"CB05, CB06"
"Álgebra y Geometría analítica II",                             CB08,   4,"CB06"
"Física II",                                                    CB13,   8,"CB05,CB10"
"Informática",                                                  CB29,   4,"CB36"
"Cálculo III",                                                  CB30,   8,"CB08,CB09"
"Probabilidad y Estadística",                                   CB34,   4,"CB09"
"Física III",                                                   CB15,   8,"CB09,CB13"
"Programación",                                                 CB39,   4,"CB06,CB29"
"Fisica IV",                                                    CB31,   8,"CB15"
"Medios de Enlace",                                             COM01,  4,"CB15,CB30"
"Teoría de Circuitos",                                          ELE01,  8,"CB09,CB15"
"Métodos Numéricos",                                            CB35,   4,"CB08,CB09"
"Dispositivos Electrónicos",                                    ELE02,  8,"CB15,ELE01"
"Teoría de las Comunicaciones",                                 COM02,  4,"COM01"
"Análisis y procesamiento de señales",                          ELE04,  8,"CB34,CB35,ELE01"
"Medidas I",                                                    ELE03,  4,"ELE01"
"Electrónica digital I",                                        ELE06,  8,"CB39,ELE02"
"Medidas II",                                                   ELE05,  4,"ELE02,ELE03"
"Electrónica analógica I",                                      ELE07,  8,"ELE02,ELE04"
"Higiene, seguridad ambiental y laboral",                       CMP01,  4,"CB03,ELE03"
"Electrónica digital II",                                       ELE08,  8,"ELE06"
"Electrotecnia",                                                ELE10,  4,"ELE05"
"Electrónica analógica II",                                     ELE09,  8,"ELE07"
"Sensores, acondicionadores de señales y adquisición de datos", ELE11,  4,"ELE05,ELE06,ELE07"
"Teoría de control",                                            ELE12,  8,"ELE09,ELE10"
"Electrónica digital III",                                      ELE13,  4,"ELE08,ELE11"
"Electiva 1",                                                   ,       8,""
"Economía",                                                     CMP05,  4,"CMP01"
"Organización industrial",                                      COM03,  4,"CMP01"
"Electiva 2",                                                   ,       8,""
"Práctica profesional supervisada",                             PPIE,   12.5,"CMP01,ELE08,ELE12"
"Ética y ejercicio profesional",                                COM04,  4,"CMP01"
"Electiva 3",                                                   ,       8,""
"Proyecto final integrador",                                    PFIE,   12.5,"ELE11,ELE12,ELE13,CMP05,COM03"